Time,Displacement,Tensile strain (Displacement),Force
(ms),(mm),(%),(N)
"0.0000","-0.2242","-0.2577","0.0001"
"20.0000","-0.2210","-0.2540","0.0002"
"40.0000","-0.2188","-0.2515","-0.0009"
"60.0000","-0.2181","-0.2506","-0.0019"
"80.0000","-0.2181","-0.2507","-0.0049"
"100.0000","-0.2182","-0.2508","-0.0055"
"120.0000","-0.2183","-0.2509","-0.0072"
"140.0000","-0.2184","-0.2510","-0.0091"
"160.0000","-0.2184","-0.2510","-0.0091"
"180.0000","-0.2184","-0.2511","-0.0106"
"200.0000","-0.2185","-0.2511","-0.0123"
"220.0000","-0.2185","-0.2512","-0.0120"
"240.0000","-0.2186","-0.2512","-0.0125"
"260.0000","-0.2186","-0.2513","-0.0138"
"280.0000","-0.2187","-0.2514","-0.0134"
"300.0000","-0.2187","-0.2514","-0.0138"
"320.0000","-0.2188","-0.2515","-0.0140"
"340.0000","-0.2189","-0.2516","-0.0140"
"360.0000","-0.2189","-0.2516","-0.0150"
"380.0000","-0.2190","-0.2517","-0.0145"
"400.0000","-0.2190","-0.2518","-0.0150"
"420.0000","-0.2191","-0.2518","-0.0156"
"440.0000","-0.2191","-0.2519","-0.0156"
"460.0000","-0.2192","-0.2520","-0.0144"
"480.0000","-0.2193","-0.2520","-0.0162"
"500.0000","-0.2193","-0.2521","-0.0164"
"520.0000","-0.2194","-0.2522","-0.0150"
"540.0000","-0.2194","-0.2522","-0.0165"
"560.0000","-0.2195","-0.2523","-0.0160"
"580.0000","-0.2195","-0.2523","-0.0152"
"600.0000","-0.2196","-0.2524","-0.0166"
"620.0000","-0.2196","-0.2525","-0.0161"
"640.0000","-0.2197","-0.2525","-0.0157"
"660.0000","-0.2197","-0.2526","-0.0175"
"680.0000","-0.2198","-0.2526","-0.0162"
"700.0000","-0.2198","-0.2527","-0.0153"
"720.0000","-0.2199","-0.2527","-0.0172"
"740.0000","-0.2199","-0.2528","-0.0159"
"760.0000","-0.2199","-0.2528","-0.0162"
